credit_name,designer_id,source,typeface_id
Jesse Ragan,jesse-ragan,typefaces.credits,aglet
,petr-van-blokland,typefaces.credits,proforma
,petr-van-blokland,typefaces.credits,typetr--tp-productus
Studio Triple,studio-triple,typefaces.credits,studio-triple--portee
Anton Moglia,anton-moglia,typefaces.credits,studio-triple--portee
Union Type Design,union-type-design,typefaces.credits,union-type-design--prospekt-mix
Christian Schwartz,christian-schwartz,typefaces.credits,oboi
Studio Triple,studio-triple,typefaces.credits,studio-triple--mayenne-sans
Atelier Julian Legendre,atelier-julian-legendre,typefaces.credits,studio-triple--mayenne-sans
Union Type Design,union-type-design,typefaces.credits,union-type-design--prospekt-sans
Henrik Kubel,henrik-kubel,typefaces.credits,a2-record-gothic
Union Type Design,union-type-design,typefaces.credits,union-type-design--commerce-script-shadow
Studio Triple,studio-triple,typefaces.credits,studio-triple--solide-mirage
Walid Bouchouchi,walid-bouchouchi,typefaces.credits,studio-triple--solide-mirage
Philippe Apeloig,philippe-apeloig,typefaces.credits,a-ali
Studio Triple,studio-triple,typefaces.credits,studio-triple--brutal-clones
Michael Parson,michael-parson,typefaces.credits,ahsing
Angel Koziupa,angel-koziupa,typefaces.credits,aladin-pro
Studio Triple,studio-triple,typefaces.credits,studio-triple--millimetre
Furniture,furniture,typefaces.credits,furniture--openinto-mono
Union Type Design,union-type-design,typefaces.credits,union-type-design--telex-sans
Studio Triple,studio-triple,typefaces.credits,studio-triple--oldies-protoypes
Studio Triple,studio-triple,typefaces.credits,studio-triple--ribosoma
Leslie David,leslie-david,typefaces.credits,studio-triple--ribosoma
Anton Moglia,anton-moglia,typefaces.credits,studio-triple--ribosoma
Fred Wiltshire,fred-wiltshire,typefaces.credits,amalgam
Studio Triple,studio-triple,typefaces.credits,studio-triple--food-society
AAAAA Atelier,aaaaa-atelier,typefaces.credits,studio-triple--food-society
Igino Marini,igino-marini,typefaces.credits,studio-triple--food-society
Neil Summerour,neil-summerour,typefaces.credits,analogy
TipoType Team,tipotype-team,typefaces.credits,suncoast
Jérémy Landes,j-r-my-landes,typefaces.credits,studio-triple--nan-success
Fátima Lázaro,f-tima-l-zaro,typefaces.credits,studio-triple--nan-success
Igino Marini,igino-marini,typefaces.credits,studio-triple--nan-success
NotNotGood,notnotgood,typefaces.credits,studio-triple--nan-success
Gabríel Markan,gabriel-markan,typefaces.credits,abacaxi
Gunjan Panchal,gunjan-panchal,typefaces.credits,abacaxi
Gunnar Vilhjálmsson,gunnar-vilhjalmsson,typefaces.credits,abacaxi
Joana Ranito,joana-ranito,typefaces.credits,abacaxi
Hitesh Malaviya,hitesh-malaviya,typefaces.credits,abacaxi
Kalapi Gajjar,kalapi-gajjar,typefaces.credits,abacaxi
Namrata Goyal,namrata-goyal,typefaces.credits,abacaxi
Ryan Martinson,ryan-martinson,typefaces.credits,anodyne
Union Type Design,union-type-design,typefaces.credits,union-type-design--commerce
Anja Meiners,anja-meiners,typefaces.credits,abezeh
Cai Qi Qing,cai-qi-qing,typefaces.credits,arphic--ar-dc-qingxinming
Rubén Prol,ruben-prol,typefaces.credits,abisinia
Union Type Design,union-type-design,typefaces.credits,union-type-design--commerce-condensed
Andriy Konstantynov First published on Jun,andriy-konstantynov-first-published-on-jun,typefaces.credits,accia-flare
Alex Slobzheninov,alex-slobzheninov,typefaces.credits,fl-prefere
Robert Wiebking,robert-wiebking,typefaces.credits,adgothic
Jamie ChangYear Released,jamie-changyear-released,typefaces.credits,adgothic
Alex Slobzheninov,alex-slobzheninov,typefaces.credits,fl-art-grotesk
Marcus SterzAfar,marcus-sterzafar,typefaces.credits,adria-slab
Alex Slobzheninov,alex-slobzheninov,typefaces.credits,fl-rare
Cyrus Highsmith,cyrus-highsmith,typefaces.credits,antenna
Tsai Ying-Hsin,tsai-ying-hsin,typefaces.credits,arphic--ar-dc-caishenxuanxingshu
Alex Slobzheninov,alex-slobzheninov,typefaces.credits,fl-science-sans
Fabrizio Schiavi,fabrizio-schiavi,typefaces.credits,abitare-sans
,ian-party,typefaces.credits,swiss-ng
,ian-party,typefaces.credits,circle-ng
Jonas Hecksher,jonas-hecksher,typefaces.credits,academy-sans
Union Type Design,union-type-design,typefaces.credits,union-type-design--telex-slab
Aaron Bell,aaron-bell,typefaces.credits,air-america
François Rappo,francois-rappo,typefaces.credits,antique-legacy
Diana Ovezea,diana-ovezea,typefaces.credits,akin
Sabina Chipară,sabina-chipara,typefaces.credits,akin
Parimal Parmar,parimal-parmar,typefaces.credits,akin
Jérémie Hornus,jeremie-hornus,typefaces.credits,akin
Nikola Giacintová,nikola-giacintova,typefaces.credits,akin
Joana Correia,joana-correia,typefaces.credits,akin
Natanael Gama,natanael-gama,typefaces.credits,akin
Union Type Design,union-type-design,typefaces.credits,union-type-design--telex-serif
Vernon Adams,vernon-adams,typefaces.credits,cyreal--amatic-sc
Ben Nathan,ben-nathan,typefaces.credits,cyreal--amatic-sc
Thomas Jockin,thomas-jockin,typefaces.credits,cyreal--amatic-sc
Alexei Vanyashin,alexei-vanyashin,typefaces.credits,cyreal--amatic-sc
Eugene Spizhovy,eugene-spizhovy,typefaces.credits,cyreal--amatic-sc
,piero-di-biase,typefaces.credits,together
Brígida Guerreiro,brigida-guerreiro,typefaces.credits,akuto-sans-serif
,ian-party,typefaces.credits,effect-ng
Oleg Frolov,oleg-frolov,typefaces.credits,cyreal--brawler
Union Type Design,union-type-design,typefaces.credits,union-type-design--telex-italic
James Plattner,james-plattner,typefaces.credits,asoma
Union Type Design,union-type-design,typefaces.credits,union-type-design--commerce-serif
Jérémie Hornus,jeremie-hornus,typefaces.credits,associate-slab
Alisa Nowak,alisa-nowak,typefaces.credits,associate-slab
Diana Ovezea,diana-ovezea,typefaces.credits,associate-slab
Olexa Volochay,olexa-volochay,typefaces.credits,cyreal--federo
,ian-party,typefaces.credits,geo-ng
Alejandro Paul,alejandro-paul,typefaces.credits,almond-script
Union Type Design,union-type-design,typefaces.credits,union-type-design--telex-modern
Manvel Shmavonyan,manvel-shmavonyan,typefaces.credits,cyreal--jacques-francois
Alexei Vanyashin,alexei-vanyashin,typefaces.credits,cyreal--jacques-francois
Nikita Kanarev,nikita-kanarev,typefaces.credits,cyreal--jacques-francois
,ian-party,typefaces.credits,mono-ng
Union Type Design,union-type-design,typefaces.credits,union-type-design--commerce-script-condensed
Pedro Arilla,pedro-arilla,typefaces.credits,at-slam-xxxcnd
,ian-party,typefaces.credits,neuegrafik
Union Type Design,union-type-design,typefaces.credits,union-type-design--telex-roundslab
Lynne Yun,lynne-yun,typefaces.credits,ampersandist
Union Type Design,union-type-design,typefaces.credits,union-type-design--commerce-script
Micael Priest,micael-priest,typefaces.credits,an-corp
Matthieu Salvaggio,matthieu-salvaggio,typefaces.credits,an-corp
Léo Guibert,leo-guibert,typefaces.credits,aukio
Rian Hughes,rian-hughes,typefaces.credits,aurore-grotesque
Ryan Martinson,ryan-martinson,typefaces.credits,gist-rough
Andreas Seidel,andreas-seidel,typefaces.credits,astype-ornaments-accolades-c
,ian-party,typefaces.credits,a4-ng
Kevin Foley,kevin-foley,typefaces.credits,rabochi
Diego Maldonado,diego-maldonado,typefaces.credits,amarta
Carolina Giovagnoli,carolina-giovagnoli,typefaces.credits,andada-ht-pro
Carolina Giovagnoli Release date,carolina-giovagnoli-release-date,typefaces.credits,andada-ht-pro
,ian-party,typefaces.credits,text-ng
Giuseppe Salerno,giuseppe-salerno,typefaces.credits,auster
