authors,date_basis,foundry_id,foundry_name,foundry_url,has_trial,is_variable,name,raw_created_at,raw_featured_at,raw_last_enriched,raw_typeface_id,release_date,release_date_candidates_count,release_date_confidence,release_date_confidence_score,release_date_initial,release_date_source_type,release_date_source_url,release_status,release_year,scripts,source_id,source_name,source_url,styles
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Yellowstone,2026-03-07T23:21:38.771374+00:00,,2026-03-07,stereo-typefaces--yellowstone,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/yellowstone/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/yellowstone/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Work In Progress,2026-03-07T23:16:01.937168+00:00,,2026-03-07,stereo-typefaces--work-in-progress,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/work-in-progress/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/work-in-progress/,[]
[],last_enriched,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Wasted,2026-03-07T23:14:43.21969+00:00,,2026-03-07,stereo-typefaces--wasted,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/wasted/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/wasted/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Today,2026-03-07T23:13:33.926109+00:00,,2026-03-07,stereo-typefaces--today,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/today/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/today/,[]
[],last_enriched,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Thinking of Betty,2026-03-07T23:15:27.9957+00:00,,2026-03-07,stereo-typefaces--thinking-of-betty,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/thinking-of-betty/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/thinking-of-betty/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,The Perfect Christmas,2026-03-07T23:19:46.813754+00:00,,2026-03-07,stereo-typefaces--the-perfect-christmas,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/the-perfect-christmas/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/the-perfect-christmas/,[]
[],last_enriched,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,The Christmas Bundle,2026-03-07T23:21:55.25572+00:00,,2026-03-07,stereo-typefaces--the-cristmas-bundle,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/the-cristmas-bundle/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/the-cristmas-bundle/,[]
"[""Sean Delloro""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,The Breakdown,2026-03-07T23:19:15.361334+00:00,,2026-03-07,stereo-typefaces--the-breakdown,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/the-breakdown/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/the-breakdown/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Strawberry Blossom,2026-03-07T23:18:08.716959+00:00,,2026-03-07,stereo-typefaces--strawberry-blossom,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/strawberry-blossom/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/strawberry-blossom/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Stereotype Font Pack,2026-03-07T23:15:50.449373+00:00,,2026-03-07,stereo-typefaces--stereotype-font-pack-webfont-license,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/stereotype-font-pack-webfont-license/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/stereotype-font-pack-webfont-license/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Snowballs,2026-03-07T23:21:00.451983+00:00,,2026-03-07,stereo-typefaces--snowballs,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/snowballs/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/snowballs/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Silver Charm,2026-03-07T23:18:58.050593+00:00,,2026-03-07,stereo-typefaces--silver-charm,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/silver-charm/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/silver-charm/,[]
