foundry_id,foundry_name,foundry_url,release_count
sudtipos,Sudtipos,https://www.sudtipos.com/,269
device-fonts,Device Fonts,https://www.devicefonts.co.uk/,257
p22-type-foundry,P22 Type Foundry,https://p22.com/fonts/?foundries=p22,198
canada-type,Canada Type,https://canadatype.com/,169
typotheque,Typotheque,https://www.typotheque.com/,165
f37,F37,http://f37foundry.com/,136
commercial-type,Commercial Type,https://commercialtype.com,126
positype,Positype,https://positype.com/,110
tour-de-force,Tour de Force Font Foundry,https://tourdefonts.com,110
house-industries,House Industries,https://housefonts.com/,97
resistenza-type-foundry,Resistenza Type Foundry,https://www.rsztype.com/,83
lineto,Lineto,https://lineto.com/,79
hubert-jocham-type,Hubert Jocham Type,https://www.hubertjocham.de/,73
lanston-type-company,Lanston Type Company,https://p22.com/fonts/?foundries=ltc,73
hvd-fonts,HvD Fonts,https://www.hvdfonts.com/,68
stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,59
brutal-types,Brutal Types,https://www.brutaltypes.com/,55
production-type,Production Type,https://www.productiontype.com/,55
the-designers-foundry,The Designers Foundry,https://www.thedesignersfoundry.com/,55
hanken-design-co,Hanken Design Co.,https://hanken.co/,53
typetogether,TypeTogether,https://www.type-together.com/,53
typeverything,Typeverything,https://typeverything.com/,50
optimo,Optimo,https://optimo.ch,49
suitcase-type-foundry,Suitcase Type Foundry,https://www.suitcasetype.com/,49
atipo,Atipo,https://www.atipofoundry.com/,47
connary-fagen,Connary Fagen,https://connary.com,44
that-that-type,That That Type,https://www.thatthattype.com,44
adam-ladd-design,Adam Ladd Design,https://ladd-design.com/,43
laura-worthington,Laura Worthington,https://lauraworthingtondesign.com/,42
muirmcneil,MuirMcNeil,https://muirmcneil.com/,40
sharp-type,Sharp Type,https://sharptype.co,40
superior-type,Superior Type,http://superiortype.com,40
the-northern-block,The Northern Block,https://thenorthernblock.co.uk/,40
pstl,PSTL,https://pstypelab.com/,36
briefcase-type-foundry,Briefcase Type Foundry,https://www.briefcasetype.com/,35
london-type-foundry,London Type Foundry,https://londontype.co.uk/,33
capitalics-wtf,Capitalics WTF,https://capitalics.wtf,32
bold-monday,Bold Monday,https://boldmonday.com,31
yellow-design-studio,Yellow Design Studio,https://yellowdesignstudio.com,31
newlyn,Newlyn,https://newlyn.com/,30
facetype,FaceType,https://www.facetype.org/,29
identity-letters,Identity Letters,https://www.identity-letters.com/,29
ludwigtype,LudwigType,https://www.ludwigtype.de/,29
mark-simonson-studio,Mark Simonson Studio,https://www.marksimonson.com/,29
hex-projects,HEX Projects,https://hex.xyz,26
studio-rene-bieder,Studio René Bieder,https://renebieder.com,26
fort-foundry,Fort Foundry,https://fortfoundry.com/,25
kimmy-design,Kimmy Design,https://kimmydesign.com/,25
plau,Plau,https://plau.design/,25
frere-jones-type,Frere–Jones Type,https://frerejones.com/,24
hamilton-wood-type-collection,Hamilton Wood Type Collection,https://p22.com/fonts/?foundries=hwt,24
lucasfonts,LucasFonts,https://www.lucasfonts.com/,24
luzi-type,Luzi Type,https://www.luzi-type.ch/,24
r-typography,R-Typography,https://www.r-typography.com/,24
bb-bureau,bb-bureau,https://www.bb-bureau.fr/,24
lipton-letter-design,Lipton Letter Design,https://liptonletterdesign.com/,23
out-of-the-dark,Out of the Dark,https://www.outofthedark.swiss/,23
lux-typo,Lux Typo,https://luxtypo.com,22
ndiscover,Ndiscover,https://ndiscover.com,22
retype,ReType,https://www.re-type.com/,22
shinntype,ShinnType,https://shinntype.com/,22
dotless-type,Dotless type,https://dotless-type.com/,21
dutch-type-library,Dutch Type Library,https://www.dutchtypelibrary.nl/,21
brownfox,Brownfox,https://brownfox.org/,20
pandeka-studio,Pandeka Studio,https://pandekafoundry.com/,20
giulia-boggio,Giulia Boggio,https://www.giuliaboggio.xyz/,19
juri-zaech,Juri Zaech,https://www.juri-zaech.com/,19
ott-ornamental-title-type,OTT — Ornamental & Title Type,https://ott-foundry.com/,19
delve-fonts,Delve Fonts,https://delvefonts.com/,18
dizajndesign,DizajnDesign,https://dizajndesign.sk/,17
manufacturas-tipograficas-madrilenas,Manufacturas Tipográficas Madrileñas,https://mtm.madrid/,17
noir-blanc-rouge,Noir Blanc Rouge,https://noirblancrouge.com/,17
pretend-foundry,Pretend Foundry,https://pretendfoundry.com/,17
tptq-arabic,TPTQ Arabic,https://tptq-arabic.com/,17
b-v-h-type,b•v-h type,https://bvhtype.com/,17
david-jonathan-ross,David Jonathan Ross,https://djr.com/,16
kostic-type-foundry,Kostić Type Foundry,https://www.kostictype.com,16
type-by,Type By,https://www.typeby.com/,16
typeji,Typeji,https://typeji.com/,16
lo-ol-type-foundry,lo-ol Type Foundry,https://www.lo-ol.design/,16
atlas,Atlas,http://www.atlasfonts.com/,15
garagefonts,GarageFonts,https://garagefonts.com/,15
league-of-movable-type,League of Movable Type,https://www.theleagueofmoveabletype.com/,15
tokotype,Tokotype,https://www.tokotype.com/,15
australian-type-foundry,Australian Type Foundry,http://www.atf.com.au/,14
carter-cone,Carter & Cone,https://carterandcone.com/,14
character-type,Character Type,https://charactertype.com/,14
melvastype,Melvastype,https://www.melvastype.fi/,14
union-type-design,Union Type Design,https://www.uniontypedesign.com/,14
xyz-type,XYZ Type,https://xyztype.com/,14
ellen-luff-type-foundry,Ellen Luff Type Foundry,https://ellenlufftype.com/,13
frost,Frost,https://www.frostype.xyz/,13
labor-and-wait,Labor and Wait,https://www.laborandwait.xyz/,13
mckl,MCKL,https://mckltype.com,13
mostardesign-type-foundry,Mostardesign Type Foundry,https://motyfo.com,13
revolver-type-foundry,Revolver Type Foundry,https://revolvertype.com,13
schick-toikka,Schick Toikka,https://www.schick-toikka.com/,13
tunera,Tunera,https://www.tunera.xyz/,13
typografische,Typografische,https://www.typografische.com,13
3type,3type,https://3type.cn,12
a2-type,A2-Type,https://a2-type.co.uk/,12
ivy-foundry,Ivy Foundry,https://ivyfoundry.com/,12
kilotype,Kilotype,https://kilotype.de,12
typetr,Typetr,https://www.typetr.com/index.html,12
warsaw-types,Warsaw Types,https://kroje.org/en/,12
