favicon_source,favicon_status,favicon_url,foundry_id,foundry_name,foundry_url,release_count
icon,ok,https://www.sudtipos.com/favicon-32x32.png,sudtipos,Sudtipos,https://www.sudtipos.com/,269
,not_found,,device-fonts,Device Fonts,https://www.devicefonts.co.uk/,257
icon,ok,https://p22.com/favicon.svg,p22-type-foundry,P22 Type Foundry,https://p22.com/fonts/?foundries=p22,198
fallback:/favicon.ico,ok,https://canadatype.com/favicon.ico,canada-type,Canada Type,https://canadatype.com/,169
,not_found,,typotheque,Typotheque,https://www.typotheque.com/,165
fallback:/favicon.ico,ok,https://f37foundry.com/favicon.ico,f37,F37,http://f37foundry.com/,136
fallback:/favicon.ico,ok,https://commercialtype.com/favicon.ico,commercial-type,Commercial Type,https://commercialtype.com,126
,not_found,,positype,Positype,https://positype.com/,110
,not_found,,tour-de-force,Tour de Force Font Foundry,https://tourdefonts.com,110
fallback:/favicon.ico,ok,https://housefonts.com/favicon.ico,house-industries,House Industries,https://housefonts.com/,97
icon,ok,https://www.rsztype.com/tenant-favicon/favicon-32x32.png,resistenza-type-foundry,Resistenza Type Foundry,https://www.rsztype.com/,83
icon,ok,https://lineto.com/favicon.svg,lineto,Lineto,https://lineto.com/,79
fallback:/favicon.ico,ok,https://www.hubertjocham.de/favicon.ico,hubert-jocham-type,Hubert Jocham Type,https://www.hubertjocham.de/,73
icon,ok,https://p22.com/favicon.svg,lanston-type-company,Lanston Type Company,https://p22.com/fonts/?foundries=ltc,73
,not_found,,hvd-fonts,HvD Fonts,https://www.hvdfonts.com/,68
shortcut icon,ok,https://www.stereo-type.fr/wp-content/themes/Stereotype/images/favicon.ico,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,59
,not_found,,brutal-types,Brutal Types,https://www.brutaltypes.com/,55
fallback:/favicon.ico,ok,https://productiontype.com/favicon.ico,production-type,Production Type,https://www.productiontype.com/,55
,not_found,,the-designers-foundry,The Designers Foundry,https://www.thedesignersfoundry.com/,55
icon,ok,https://hanken.co/cdn/shop/files/Website-Blue-Logo.png?crop=center&height=32&v=1613173807&width=32,hanken-design-co,Hanken Design Co.,https://hanken.co/,53
shortcut icon,ok,https://www.type-together.com/favicon.ico?v=2026.01.29.09.31,typetogether,TypeTogether,https://www.type-together.com/,53
icon,ok,https://typeverything.com/favicon-32x32.png,typeverything,Typeverything,https://typeverything.com/,50
