foundry_id,relationship,source,typeface_id
xyz-type,publishes,typefaces.foundry_id,aglet
29letters,publishes,typefaces.foundry_id,29lt-zarid-sans-al
yeah-right-type,publishes,typefaces.foundry_id,something-sans
trulytype,publishes,typefaces.foundry_id,werk-sans
typetr,publishes,typefaces.foundry_id,proforma
arphic,publishes,typefaces.foundry_id,arphic--ar-udjingxihei
29letters,publishes,typefaces.foundry_id,29lt-zarid-sans-lg
characters-font-foundry,publishes,typefaces.foundry_id,shell-shock
yeah-right-type,publishes,typefaces.foundry_id,spacemagic
arphic,publishes,typefaces.foundry_id,arphic--ar-flyingeaves
typetr,publishes,typefaces.foundry_id,typetr--tp-productus
studio-triple,publishes,typefaces.foundry_id,studio-triple--portee
union-type-design,publishes,typefaces.foundry_id,union-type-design--prospekt-mix
cast-type-foundry,publishes,typefaces.foundry_id,8
commercial-type,publishes,typefaces.foundry_id,oboi
arphic,publishes,typefaces.foundry_id,arphic--ar-shuyuansong
studio-triple,publishes,typefaces.foundry_id,studio-triple--mayenne-sans
union-type-design,publishes,typefaces.foundry_id,union-type-design--prospekt-sans
a2-type,publishes,typefaces.foundry_id,a2-gothic-mono
a2-type,publishes,typefaces.foundry_id,a2-record-gothic
arphic,publishes,typefaces.foundry_id,arphic--ar-fangxinshu
union-type-design,publishes,typefaces.foundry_id,union-type-design--commerce-script-shadow
studio-triple,publishes,typefaces.foundry_id,studio-triple--solide-mirage
nouvelle-noire,publishes,typefaces.foundry_id,a-ali
zetafonts,publishes,typefaces.foundry_id,adlibitum
atipo,publishes,typefaces.foundry_id,silka
studio-triple,publishes,typefaces.foundry_id,studio-triple--brutal-clones
typogama,publishes,typefaces.foundry_id,ahsing
typofonderie,publishes,typefaces.foundry_id,aiglon-wide
positype,publishes,typefaces.foundry_id,air-pro-xcondensed
sudtipos,publishes,typefaces.foundry_id,aladin-pro
studio-triple,publishes,typefaces.foundry_id,studio-triple--millimetre
trashtype,publishes,typefaces.foundry_id,test
a2-type,publishes,typefaces.foundry_id,a2-gothic
outras-fontes,publishes,typefaces.foundry_id,alegria
colophon-foundry,publishes,typefaces.foundry_id,raisonne
furniture,publishes,typefaces.foundry_id,furniture--openinto-mono
union-type-design,publishes,typefaces.foundry_id,union-type-design--telex-sans
studio-triple,publishes,typefaces.foundry_id,studio-triple--oldies-protoypes
studio-triple,publishes,typefaces.foundry_id,studio-triple--ribosoma
bonez-designz,publishes,typefaces.foundry_id,a-gothique-time
fredsfonts,publishes,typefaces.foundry_id,amalgam
studio-triple,publishes,typefaces.foundry_id,studio-triple--food-society
positype,publishes,typefaces.foundry_id,analogy
tipotype,publishes,typefaces.foundry_id,suncoast
studio-triple,publishes,typefaces.foundry_id,studio-triple--nan-success
arphic,publishes,typefaces.foundry_id,arphic--ar-chowder
universal-thirst,publishes,typefaces.foundry_id,abacaxi
typofonderie,publishes,typefaces.foundry_id,anisette
yellow-design-studio,publishes,typefaces.foundry_id,anodyne
kobu-foundry,publishes,typefaces.foundry_id,kawaru
yeah-right-type,publishes,typefaces.foundry_id,tough-luck
union-type-design,publishes,typefaces.foundry_id,union-type-design--commerce
in-house,publishes,typefaces.foundry_id,zanco
bbox-type,publishes,typefaces.foundry_id,abezeh
arphic,publishes,typefaces.foundry_id,arphic--ar-dc-qingxinming
ruben-prol,publishes,typefaces.foundry_id,abisinia
union-type-design,publishes,typefaces.foundry_id,union-type-design--commerce-condensed
mint-type,publishes,typefaces.foundry_id,accia-flare
flight-mode,publishes,typefaces.foundry_id,fl-prefere
supertype,publishes,typefaces.foundry_id,adapt-supertype
manic-type,publishes,typefaces.foundry_id,adgothic
flight-mode,publishes,typefaces.foundry_id,fl-art-grotesk
facetype,publishes,typefaces.foundry_id,adria-slab
california-type-foundry,publishes,typefaces.foundry_id,hermanz-titling
flight-mode,publishes,typefaces.foundry_id,fl-rare
occupant-fonts,publishes,typefaces.foundry_id,antenna
arphic,publishes,typefaces.foundry_id,arphic--ar-dc-caishenxuanxingshu
walden-font-co,publishes,typefaces.foundry_id,kurrent-kupferstich
flight-mode,publishes,typefaces.foundry_id,fl-science-sans
fabrizio-schiavi-design,publishes,typefaces.foundry_id,abitare-sans
coppers-and-brasses,publishes,typefaces.foundry_id,agena-display
p22-type-foundry,publishes,typefaces.foundry_id,p22-latimer
yeah-right-type,publishes,typefaces.foundry_id,rosamond
j-foundry,publishes,typefaces.foundry_id,abrade
good-type-foundry,publishes,typefaces.foundry_id,agentur
contemporary-type,publishes,typefaces.foundry_id,swiss-ng
r-typography,publishes,typefaces.foundry_id,flecha
contemporary-type,publishes,typefaces.foundry_id,circle-ng
playtype,publishes,typefaces.foundry_id,academy-sans
union-type-design,publishes,typefaces.foundry_id,union-type-design--telex-slab
saja-typeworks,publishes,typefaces.foundry_id,air-america
optimo,publishes,typefaces.foundry_id,antique-legacy
indian-type-foundry,publishes,typefaces.foundry_id,akin
reset,publishes,typefaces.foundry_id,rst-libertad
union-type-design,publishes,typefaces.foundry_id,union-type-design--telex-serif
yeah-right-type,publishes,typefaces.foundry_id,post-no-bills
omnibus-type,publishes,typefaces.foundry_id,rosario
cyreal,publishes,typefaces.foundry_id,cyreal--amatic-sc
emtype-foundry,publishes,typefaces.foundry_id,akkordeon
rosetta,publishes,typefaces.foundry_id,arek-latin
g-type,publishes,typefaces.foundry_id,remora-corp
herzberg-design-co,publishes,typefaces.foundry_id,wanchy
contemporary-type,publishes,typefaces.foundry_id,together
kobu-foundry,publishes,typefaces.foundry_id,akuto-sans-serif
contemporary-type,publishes,typefaces.foundry_id,effect-ng
cyreal,publishes,typefaces.foundry_id,cyreal--brawler
