entity_id,entity_type,fetched_at,payload_sha256,run_id,source,source_table
29letters,foundries,2026-03-08T16:33:10.687892+00:00,f0de016d1de60283e2506e8a99de44692f0e095ab937e720b0d5333790eae59a,20260308T163309Z,supabase.rest.v1,foundries
a-is-a-name,foundries,2026-03-08T16:33:10.687892+00:00,fc89647fc12b4689e2acc762505d39cfbce8a7254050940ed17bc09b16b64dbc,20260308T163309Z,supabase.rest.v1,foundries
mono-modular,foundries,2026-03-08T16:33:10.687892+00:00,343288a046f218f3859c63d2153a558eb64e989a07c368fdb0322e308a4c9ae4,20260308T163309Z,supabase.rest.v1,foundries
typetr,foundries,2026-03-08T16:33:10.687892+00:00,6d8692a4b77e2ac89c50712540f3eb6d08de851aa9051d5398b029e36955e4fa,20260308T163309Z,supabase.rest.v1,foundries
famirafonts,foundries,2026-03-08T16:33:10.687892+00:00,650ee6b1195efc51d5e87ed0851da4b6ffbec75472c38007f70e61be3f4b70cc,20260308T163309Z,supabase.rest.v1,foundries
nomad-foundry,foundries,2026-03-08T16:33:10.687892+00:00,bd2505af8615c8d1ce85c70146c72ca1a12dfeb55f6be463534e0a8a09a367bf,20260308T163309Z,supabase.rest.v1,foundries
a-is-for,foundries,2026-03-08T16:33:10.687892+00:00,3903601528306dc21bb2b429f5908182cff0166f3193891fb3a1e3fb1472e6b7,20260308T163309Z,supabase.rest.v1,foundries
arcane-type-foundry,foundries,2026-03-08T16:33:10.687892+00:00,18eb80155b3b92b1abc0f8307e21e1043c716d6923c3f9c7f609e44c40e6fab5,20260308T163309Z,supabase.rest.v1,foundries
about-type,foundries,2026-03-08T16:33:10.687892+00:00,e9cc273fb3c0ca1435b68b24def070f5a9175025d23b283123f7d82c0a8ca562,20260308T163309Z,supabase.rest.v1,foundries
abstract-office,foundries,2026-03-08T16:33:10.687892+00:00,afc5c465d394abe517e3ded3e33f3d37b95df5e8ea9179a08ab8a998a620d1e0,20260308T163309Z,supabase.rest.v1,foundries
accentiatype,foundries,2026-03-08T16:33:10.687892+00:00,3a6fd467dc53042f2efb25d973c367113cb68b3d5c6d91902795434dc54c6e4d,20260308T163309Z,supabase.rest.v1,foundries
union-type-design,foundries,2026-03-08T16:33:10.687892+00:00,354fafea48e4eb5a139de98e9deb360751588a14755724909ec3248e9fb96d06,20260308T163309Z,supabase.rest.v1,foundries
weltkern,foundries,2026-03-08T16:33:10.687892+00:00,65163bab23710c4db5b8cdffb08353e338e83bca1b61b063467812ee5b4a9496,20260308T163309Z,supabase.rest.v1,foundries
twintype,foundries,2026-03-08T16:33:10.687892+00:00,98cdf25b3edc285519c132bd1d858f263cb6bf911e62f269abdc45c13eb6d3cd,20260308T163309Z,supabase.rest.v1,foundries
a-n-f-s-foundry,foundries,2026-03-08T16:33:10.687892+00:00,02d44097d23b40d46a4ee913048bcb13e1cf01ff96a98a786a1ba615131a3059,20260308T163309Z,supabase.rest.v1,foundries
type-forward,foundries,2026-03-08T16:33:10.687892+00:00,929d4197a7dc00c813b7d2a088eb9479278e2b0e55080063b638aa0739a87153,20260308T163309Z,supabase.rest.v1,foundries
a2-type,foundries,2026-03-08T16:33:10.687892+00:00,c3a70d41afd05e5223996e077c7c4f189297ae61c101f9db79c12b511b5b5cd1,20260308T163309Z,supabase.rest.v1,foundries
aayalolo,foundries,2026-03-08T16:33:10.687892+00:00,eadf273a6fb5bded00e69146c13f3699d56e721be41969d186ea6b5f51ce17b7,20260308T163309Z,supabase.rest.v1,foundries
abc-etc,foundries,2026-03-08T16:33:10.687892+00:00,6352ae5c97bea2dae2f0aec30befd2eef0e35ddd7b3fdfb58a91299a169f28db,20260308T163309Z,supabase.rest.v1,foundries
abc-litera,foundries,2026-03-08T16:33:10.687892+00:00,e38e5813b6fdc44554aef9bb4362041229d98b33da999f8a9e669483baaaa75f,20260308T163309Z,supabase.rest.v1,foundries
xyz-type,foundries,2026-03-08T16:33:10.687892+00:00,c19e61c623a54d366932024097831c855eae527ce1f6bc3a816b098583220887,20260308T163309Z,supabase.rest.v1,foundries
adobe,foundries,2026-03-08T16:33:10.687892+00:00,0e50b4d6f3aa14657a8fb25457d9a14e1312f3676bfe0ca070d4a9e9bf77cdf2,20260308T163309Z,supabase.rest.v1,foundries
letterwerk,foundries,2026-03-08T16:33:10.687892+00:00,133c0f4f44c2b324f20524cb330c62893972f5416d19175bf4cb2c7d6a8d296b,20260308T163309Z,supabase.rest.v1,foundries
aesthetic-type,foundries,2026-03-08T16:33:10.687892+00:00,f3e1efec639837fb5d6517d96230a95acfb2bd1d2a820b1335f0703f61aa8f89,20260308T163309Z,supabase.rest.v1,foundries
anna-khorash,foundries,2026-03-08T16:33:10.687892+00:00,bddc5f6265f9276a2e3a607cbb012acb246708cee1570615b8e53187004afd96,20260308T163309Z,supabase.rest.v1,foundries
anrt,foundries,2026-03-08T16:33:10.687892+00:00,f05214ed40af3531293742027693cc5fb030cad878ce1f0c217c2378013cc04f,20260308T163309Z,supabase.rest.v1,foundries
approximate-type,foundries,2026-03-08T16:33:10.687892+00:00,3e6f7a04b064ab78f7f1ee557578f648c79bb4fc0e0e9101d61641ca6e2f42a1,20260308T163309Z,supabase.rest.v1,foundries
cstm-fonts,foundries,2026-03-08T16:33:10.687892+00:00,d3f34cba06f82641a3eb82516145832d0f2afee58d6365296d6ceae83fe9b943,20260308T163309Z,supabase.rest.v1,foundries
jolicia-type,foundries,2026-03-08T16:33:10.687892+00:00,e1f459ef195a32a0ee707ae9ec27d88082cabc4c2ff5ff87f65cb608f55d5b10,20260308T163309Z,supabase.rest.v1,foundries
