designer_id,foundry_id,role,source
vedad-siljak,chill-type,designer,designers.affiliations
valentina-casali,cast-type-foundry,designer,designers.affiliations
j-r-my-landes,studio-triple,designer,designers.affiliations
aaron-aebi,bleifrei-type,designer,designers.affiliations
blast-foundry,acute-studio,designer,designers.affiliations
regan-johnson,furniture,designer,designers.affiliations
aaron-bell,saja-typeworks,designer,designers.affiliations
aaron-bell,hamilton-wood-type-collection,designer,designers.affiliations
antonio-mejia-lechuga,lechuga-type,designer,designers.affiliations
antonio-mejia-lechuga,cocijotype,designer,designers.affiliations
leslie-david,studio-triple,designer,designers.affiliations
claudia-mens,typetr,Partner,designers.affiliations
abdo-mohamed,protype-foundry,designer,designers.affiliations
f-tima-l-zaro,studio-triple,designer,designers.affiliations
arlyn-ramos,arlyn-ramos,designer,designers.affiliations
notnotgood,studio-triple,designer,designers.affiliations
atelier-julian-legendre,studio-triple,designer,designers.affiliations
erich-schmid,ogj-type,Collaborator,designers.affiliations
ruggero-magr,furniture,designer,designers.affiliations
union-type-design,union-type-design,designer,designers.affiliations
arthur-calame,calame-bureau,principal,designers.affiliations
arthur-calame,wisetype,designer,designers.affiliations
rapha-l-bastide,studio-triple,designer,designers.affiliations
cai-qi-qing,arphic,designer,designers.affiliations
jeremy,studio-triple,designer,designers.affiliations
abel-martins,family-type,designer,designers.affiliations
abel-martins,nova-type-foundry,designer,designers.affiliations
donat-raetzo,union-type-design,founder & type designer,designers.affiliations
studio-triple,studio-triple,designer,designers.affiliations
abhijit-menon,abhijit-menon,designer,designers.affiliations
aliv-pandu,type-colony,designer,designers.affiliations
carolyn-porter,p22-type-foundry,designer,designers.affiliations
furniture,furniture,designer,designers.affiliations
daniel-flipo,typographies-fr,designer,designers.affiliations
frescotype,frescotype,designer,designers.affiliations
typetr,typetr,designer,designers.affiliations
tsai-ying-hsin,arphic,designer,designers.affiliations
adela-de-bara,type-o-tones,designer,designers.affiliations
adam-katyi,hungarumlaut,designer,designers.affiliations
aaaaa-atelier,studio-triple,designer,designers.affiliations
reese,twintype,co-founder & type designer,designers.affiliations
